level,scene_id,query_id,request,successes_out_of_5,ground_truth,unique_predictions,error_types
L5,b0_l5_random_30_45_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,[90],[[90]],"{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[17, 90]","[[17, 90]]","{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,[90],[[90]],"{""correct"": 5}"
L5,b0_l5_random_30_45_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,0,"[31, 38, 63]","[[31, 38]]","{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_08,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[28, 63]","[[28, 63]]","{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,5,[63],[[63]],"{""correct"": 5}"
L5,b0_l5_random_30_45_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[63]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something purple.,5,[25],[[25]],"{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[25, 30]","[[25, 30]]","{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the purple bottle.,5,[25],[[25]],"{""correct"": 5}"
L5,b0_l5_random_30_45_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue bottle.,0,[],[[25]],"{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_30_45_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,[32],[[32]],"{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[32, 47]","[[32, 47]]","{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,[32],[[32]],"{""correct"": 5}"
L5,b0_l5_random_30_45_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the purple bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,[77],[[77]],"{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[62, 77, 87]","[[62, 77, 87]]","{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[77],[[77]],"{""correct"": 5}"
L5,b0_l5_random_45_60_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_02,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[76, 81]","[[76, 81, 83]]","{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_45_60_02,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[72, 76]","[[72, 76]]","{""correct"": 5}"
L5,b0_l5_random_45_60_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[76],[[76]],"{""correct"": 5}"
L5,b0_l5_random_45_60_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,0,[],[[64]],"{""object_recognition_failure"": 5}"
L5,b0_l5_random_45_60_03,Q1_5_COLOR_ONLY_PRESENT,Bring me something brown.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[11, 31]","[[11, 31]]","{""correct"": 5}"
L5,b0_l5_random_45_60_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the brown can.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,5,"[12, 68]","[[12, 68]]","{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[12, 19, 53]","[[12, 19, 53]]","{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,5,[12],[[12]],"{""correct"": 5}"
L5,b0_l5_random_45_60_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the yellow bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q1_5_COLOR_ONLY_PRESENT,Bring me something pink.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 63, 89]","[[11, 63, 89]]","{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the pink bottle.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_05,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_06,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,1,"[39, 93]","[[39, 73, 93], [39, 93]]","{""canonical_color_disagreement"": 4, ""correct"": 1}"
L5,b0_l5_random_45_60_06,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[29, 42, 73, 93]","[[29, 42, 73, 93]]","{""correct"": 5}"
L5,b0_l5_random_45_60_06,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue bottle.,0,[93],"[[73, 93], [93, 73]]","{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_45_60_06,Q3_HARD_NEGATIVE_ABSENT,Bring me the brown bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q1_5_COLOR_ONLY_PRESENT,Bring me something blue.,0,"[62, 73, 88]","[[21, 62, 73, 88]]","{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_45_60_07,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[73, 95]","[[73, 95]]","{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q2_CATEGORY_COLOR_PRESENT,Bring me the blue can.,5,[73],[[73]],"{""correct"": 5}"
L5,b0_l5_random_45_60_07,Q3_HARD_NEGATIVE_ABSENT,Bring me the green can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,5,"[41, 98]","[[41, 98]]","{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[14, 41]","[[14, 41]]","{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[41],[[41]],"{""correct"": 5}"
L5,b0_l5_random_45_60_08,Q3_HARD_NEGATIVE_ABSENT,Bring me the pink can.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q1_5_COLOR_ONLY_PRESENT,Bring me something yellow.,0,"[11, 13, 67]","[[11, 13]]","{""canonical_color_disagreement"": 5}"
L5,b0_l5_random_45_60_09,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[11, 38, 52]","[[11, 38, 52]]","{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow bottle.,5,[11],[[11]],"{""correct"": 5}"
L5,b0_l5_random_45_60_09,Q3_HARD_NEGATIVE_ABSENT,Bring me the white bottle.,5,[],[[]],"{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q1_5_COLOR_ONLY_PRESENT,Bring me something green.,5,[51],[[51]],"{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q1_CATEGORY_PRESENT,Bring me a bottle.,5,"[23, 34, 51]","[[23, 34, 51]]","{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q2_CATEGORY_COLOR_PRESENT,Bring me the green bottle.,5,[51],[[51]],"{""correct"": 5}"
L5,b0_l5_random_45_60_10,Q3_HARD_NEGATIVE_ABSENT,Bring me the black bottle.,5,[],[[]],"{""correct"": 5}"
